Node_No,X,Y,Z,Total Deformation
33699,0.0026,-0.0014,-0.0660,0.0660
33700,-0.0034,0.0008,-0.0619,0.0620
33701,-0.0035,-0.0004,-0.0622,0.0623
33702,-0.0035,0.0003,-0.0622,0.0623
33703,-0.0035,0.0000,-0.0625,0.0626
33704,-0.0030,0.0000,-0.0622,0.0623
33705,-0.0029,-0.0004,-0.0615,0.0616
33706,-0.0030,0.0019,-0.0616,0.0617
33707,-0.0025,0.0025,-0.0615,0.0616
33708,-0.0029,0.0020,-0.0619,0.0620
33709,-0.0023,0.0018,-0.0616,0.0617
33710,-0.0025,0.0016,-0.0608,0.0609
33711,0.0007,-0.0034,-0.0624,0.0625
33712,-0.0001,-0.0035,-0.0623,0.0624
33713,0.0003,-0.0035,-0.0628,0.0628
33714,0.0003,-0.0029,-0.0624,0.0625
33715,0.0007,-0.0028,-0.0617,0.0617
33716,-0.0014,-0.0032,-0.0618,0.0619
33717,-0.0008,-0.0034,-0.0622,0.0623
33718,-0.0012,-0.0028,-0.0617,0.0618
33719,-0.0022,-0.0027,-0.0621,0.0622
33720,-0.0012,-0.0033,-0.0623,0.0624
33721,-0.0018,-0.0030,-0.0626,0.0626
33722,-0.0016,-0.0027,-0.0619,0.0619
33723,-0.0027,-0.0022,-0.0658,0.0659
33724,-0.0025,-0.0025,-0.0655,0.0656
33725,-0.0020,-0.0029,-0.0655,0.0656
33726,-0.0019,-0.0022,-0.0660,0.0661
33727,0.0017,0.0031,-0.0621,0.0622
33728,0.0008,0.0034,-0.0621,0.0622
33729,0.0012,0.0033,-0.0625,0.0626
33730,0.0014,0.0027,-0.0617,0.0618
33731,0.0005,0.0029,-0.0621,0.0621
33732,0.0035,0.0001,-0.0660,0.0661
33733,0.0033,0.0011,-0.0660,0.0661
33734,0.0034,0.0010,-0.0656,0.0657
33735,0.0035,0.0003,-0.0654,0.0655
33736,0.0030,0.0004,-0.0666,0.0667
33737,0.0029,0.0006,-0.0657,0.0658
33738,0.0030,0.0010,-0.0663,0.0663
33739,0.0028,0.0020,-0.0659,0.0660
33740,0.0021,0.0028,-0.0659,0.0660
33741,0.0026,0.0024,-0.0657,0.0658
33742,0.0023,0.0027,-0.0654,0.0655
33743,0.0019,0.0022,-0.0664,0.0665
33744,0.0025,0.0019,-0.0662,0.0663
33745,0.0020,0.0023,-0.0656,0.0657
33746,0.0002,0.0035,-0.0664,0.0665
33747,0.0013,0.0033,-0.0661,0.0662
